taxonid,topt,hidden,name,fname,assembly,phylum,subdivision,class,order,family,genus
28442,37.0,0,Haloarcula vallismortis,Haloarcula_vallismortis,GCA_000337775.1_ASM33777v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarcula
43776,40.0,0,Haloarcula argentinensis,Haloarcula_argentinensis,GCA_000336895.1_ASM33689v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarcula
396317,41.0,0,Haloarcula amylolytica,Haloarcula_amylolytica,GCA_000336615.1_ASM33661v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarcula
29282,44.0,0,Haloarcula japonica,Haloarcula_japonica,GCA_000336635.1_ASM33663v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarcula
272569,45.0,0,Haloarcula marismortui ATCC 43049,Haloarcula_marismortui,GCA_000011085.1_ASM1108v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarcula
478009,41.0,0,Halobacterium salinarum R1,Halobacterium_salinarum,GCA_000006805.1_ASM680v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium
1448860,37.0,0,Halobellus rufus,Halobellus_rufus,GCA_000739575.1_ASM73957v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halobellus
130048,42.0,0,Halobiforma nitratireducens,Halobiforma_nitratireducens,GCA_000337895.1_ASM33789v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halobiforma
229731,43.0,0,Halobiforma lacisalsi,Halobiforma_lacisalsi,GCA_000226975.2_HalLac_AJ5_1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halobiforma
332168,37.0,0,Halococcus hamelinensis,Halococcus_hamelinensis,GCA_000259215.1_ASM25921v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus
2250,37.0,0,Halococcus morrhuae,Halococcus_morrhuae,GCA_000336695.1_ASM33669v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus
62319,37.0,0,Halococcus saccharolyticus,Halococcus_saccharolyticus,GCA_000336915.1_ASM33691v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus
1264579,37.0,0,Halococcus sediminicola,Halococcus_sediminicola,GCA_000755245.1_ASM75524v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus
335952,37.0,0,Halococcus thailandensis,Halococcus_thailandensis,GCA_000336715.1_ASM33671v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus
